chara,name,input,damage,startup,active,recovery,attribute,type,frameAdv
Akatsuki,"Blitz Shot (Air)",j236C,1520,7,Varies,"Until Landing + 12",Projectile,special,+8
Akatsuki,"Blitz Shot (Increase)",236[A],1128,31,Varies,31,Projectile,special,"+1 ob/+34 on hit"
Akatsuki,"Blitz Shot (Increase)",236[B],1128,27,Varies,32,Projectile,special,"0 ob/+33 on hit"
Akatsuki,"Cross Cast&amp;#32;Veil Off",A+B+C,0,2,4,20,Strike,other,+3
Akatsuki,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Akatsuki,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Akatsuki,"Heavy Assault Protection",236B+C,1248,"1(Parry) 9(Strike)",14(Parry),"34(No Parry)",Strike,special,"+4(Strike is blocked)"
Akatsuki,"Helm Crusher",6B,736,25,2,22,Strike,normal,-6
Akatsuki,"Human Cannon",22A,1360,5,7,29,Strike,special,-12~-18
Akatsuki,"Human Cannon",22B,1773,6,14,39,Strike,special,-29
Akatsuki,"Human Cannon",22C,1947,1+4,"6, (2), 2, (4), 3, (3), 4",29,Strike,special,-31
Akatsuki,"Jaw Crusher",6C,1380,10,3,29,Strike,normal,-16
Akatsuki,Kamikaze,41236D,3919,1+12,"4, (4), 8",36,Strike,super,-10~-18
Akatsuki,Ouka-Kai,A+B+C+D,4010,1+14,2,51,Strike,super,-25
Akatsuki,"Reflector (Catch)",2B+C,,1,"13 / 14 (&lt;font style=&quot;font-weight:bold; color:Teal&quot;           &gt;Vorpal&lt;/font&gt;)",,,other,
Akatsuki,"Reflector (Catch)",B+C,,1,"13 / 14 (&lt;font style=&quot;font-weight:bold; color:Teal&quot;           &gt;Vorpal&lt;/font&gt;)",,,other,
Akatsuki,"Reflector (Catch)",jB+C,,1,"13 / 14 (&lt;font style=&quot;font-weight:bold; color:Teal&quot;           &gt;Vorpal&lt;/font&gt;)","Until Landing + 12",,other,
Akatsuki,"Reflector (Strike)",2B+C,736,6,4,20,0,other,-6
Akatsuki,"Reflector (Strike)",B+C,736,6,4,20,0,other,-6
Akatsuki,"Reflector (Strike)",jB+C,736,6,4,20,"Strike, Head",other,Varies
Akatsuki,"Skull Crusher",j6C,620,13,4,"4 on landing","Strike, Head",normal,Varies
Akatsuki,"Skull Crusher",j6[C],736,18,4,"4 on landing","Strike, Head",normal,Varies
Akatsuki,"Steer Ender",A+B,,1,,,,other,-4
Akatsuki,Throw,A+D,1632,4,1,22,Throw,other,+18
Akatsuki,"Tile Crusher",j2C,850,17,"Until landing + 1","13 on landing","Strike, Head",normal,-2~+1
Akatsuki,"Veil Off",A+B+C,0,15,2,,Strike,other,-23
Akatsuki,"Veil Off",A+B+C,0,15,2,,Strike,other,-23
Byakuya,,2A,150,6,2,12,Strike,normal,-2
Byakuya,,2B,490,9,5,19,"Strike, Foot",normal,-8
Byakuya,,2C,620,11,5,25,"Strike, Foot",normal,-12
Byakuya,,3C,620,11,3,22,Strike,normal,-7
Byakuya,,3[C],898,29,3,22,Strike,normal,-7
Byakuya,,5A,180,6,3,12,Strike,normal,-3
Byakuya,,5B,450,10,5,17,Strike,normal,-6
Byakuya,,5BB,598,13,4,25,Strike,normal,-11
Byakuya,,5C,690,12,3,22,Strike,normal,-7
Byakuya,,66B,650,9,16,14,"Strike, Foot",normal,-12~+3
Byakuya,,66C,1228,15,18,23,Strike,normal,-9
Byakuya,,A+D,1570,4,,,Throw,other,+60
Byakuya,,A+D~1,1570,,,,Throw,other,+61
Byakuya,,A+D~4,1570,,,,Throw,other,+61
Byakuya,,A+D~7,1570,,,,Throw,other,+62
Byakuya,,j2C,674,12,20,9,"Strike, Head",normal,-5~+12
Byakuya,,j2[C],1125,19,,,"Strike, Head",normal,+5~+13
Byakuya,,jA,140,8,2,13,"Strike, Head",normal,-3~+9
Byakuya,,jB,440,10,4,26,"Strike, Head",normal,-14~+12
Byakuya,,jC,590,12,4,19,"Strike, Head",normal,-5~+13
Byakuya,"Become a Part of Me",41236D,3150,9,,,Throw,super,-
Byakuya,"Caught You! (A)",214X~X~A,680,9,4,,"Strike, Dive",special,-11~+7
Byakuya,"Caught You! (B)",214X~X~B,898,9,4,,"Strike, Dive",special,-23~-12
Byakuya,"Caught You! (C)",214X~X~C,898,10,4,,"Strike, Dive",special,-7~+10
Byakuya,"Caught You! (D)",214X~X~D,898,36,,,Strike,special,
Byakuya,"Caught You! (Increase A)",214[X]~A,680,9,4,23,"Strike, Dive",special,-11~+5
Byakuya,"Caught You! (Increase B)",214[X]~B,"647, 898 (1410)",29,11,,"Strike, Dive (falling attack), Strike (web)",special,"-6~-3 (+16 w/ web)"
Byakuya,"Caught You! (Increase C)",214[X]~C,"898, 898 (1481)",22~36,11,,"Strike, Foot (slide), Strike (web)",special,"-9~+2 (+15~+19 w/ web)"
Byakuya,"Caught You! (Increase D)",214[X]~D,898,36,,,Strike,special,
Byakuya,"Cross Cast&amp;#32;Veil Off",A+B+C,0,2,4,20,Strike,other,+3
Byakuya,"Endless Nightmare",A+B+C+D,,1+14,2,51,Strike,super,-25
Byakuya,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Byakuya,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Byakuya,"How Shall I Cook You? (A)",236A,438,11,4,26,Strike,special,-6
Byakuya,"How Shall I Cook You? (B)",236B,438,12,4,27,Strike,special,-7
Byakuya,"How Shall I Cook You? (C)",236C,2060,4+4,"4, (18), 6, (16), 4, (14), 6, (15), 10, (6), 6",33,Strike,special,-21
Byakuya,"I&#039;ll Plant It Somewhere Over Here (A)",214A,898,47,,,Strike,special,+22
Byakuya,"I&#039;ll Plant It Somewhere Over Here (Air A)",j214A,898,43,,,Strike,special,
Byakuya,"I&#039;ll Plant It Somewhere Over Here (Air B)",j214B,898,49,,,Strike,special,
Byakuya,"I&#039;ll Plant It Somewhere Over Here (Air C)",j214C,898,51,,,Strike,special,
Byakuya,"I&#039;ll Plant It Somewhere Over Here (B)",214B,898,49,,,Strike,special,+18
Byakuya,"I&#039;ll Plant It Somewhere Over Here (C)",214C,898,51,,,Strike,special,+16
Byakuya,"I&#039;ll Plant It Somewhere Over Here (Increase)",214[X],,,,,,special,
Byakuya,"I&#039;ll Plant It Somewhere Over Here (Just Kidding)",B+C,898,26,4,33,Strike,other,-19
Byakuya,"I&#039;ll Plant It Somewhere Over Here (Just Kidding)",[B]+[C],898,30,4,34,,other,-20
Byakuya,"Let&#039;s Have a Taste (A)",22A,,14,5,19,,special,-4
Byakuya,"Let&#039;s Have a Taste (B)",22B,,18,5,24,,special,-9
Byakuya,"Let&#039;s Have a Taste (C)",22C,1998,4+10,,,,special,+2
Byakuya,"Minced? (A)",236A~6X,660,16,6,28,Strike,special,-8
Byakuya,"Minced? (B)",236B~6X,660,20,6,32,Strike,special,-12
Byakuya,"No Point In Running",214X~X,,13,,,,special,
Byakuya,"Or... Shredded? (A)",236A~6X~6X,920,9,"12, (8), 6",33,Strike,special,-21
Byakuya,"Or... Shredded? (B)",236B~6X~6X,920,9,"12, (8), 6",33,Strike,special,-21
Byakuya,"Veil Off",A+B+C,0,15,2,,Strike,other,-23
Byakuya,"You&#039;re Almost Ready To Eat (A)",623A,898,33,1,"39 (28 on grab)","Throw (grab), Strike (web)",special,
Byakuya,"You&#039;re Almost Ready To Eat (C)",623B,898,34,1,"40 (29 on grab)","Throw (grab), Strike (web)",special,
Byakuya,"You&#039;re Almost Ready To Eat (C)",623C,"1390 (grab), 898 (web)",4+10,2,37,"Throw (grab), Strike (web)",special,
Byakuya,"You&#039;re Almost Ready To Eat (Increase A)",623[A],898,47,,,Strike,special,+17
Byakuya,"You&#039;re Almost Ready To Eat (Increase B)",623[B],899,56,,,Strike,special,+22
Carmine,,2A,180,6,2,12,Strike,normal,-2
Carmine,,2B,430,7,5,13,Strike,normal,-2
Carmine,,2C,590,11,2,28,Strike,normal,-14
Carmine,,3B,564,8,3,23,Strike,normal,-6
Carmine,,3C,781,15,5,20,Strike,normal,-9
Carmine,,3[C],890,20,5,20,Strike,normal,-7
Carmine,,5A,185,6,2,12,Strike,normal,-2
Carmine,,5B,570,9,5,16,Strike,normal,-5
Carmine,,5BB,490,14,7,14,Strike,normal,-5
Carmine,,5BBB,,16,,,Throw,normal,+42
Carmine,,5C,670,15,3,23,Strike,normal,-8
Carmine,,66B,620,10,3,15,Strike,normal,-4
Carmine,,66C,1122,15,5,16,Strike,normal,-1
Carmine,,6B,720,14,22,24,Projectile,normal,-2
Carmine,,6B~B,1008,18,7,15,Projectile,normal,+3
Carmine,,6C,550,13,3,21,Strike,normal,-6
Carmine,,6[B],720,13,,,Projectile,normal,-3
Carmine,,6[C],740,27,3,26,Strike,normal,-11
Carmine,,j3C,710,15,,,,normal,-1~-7
Carmine,,j3[C],940,23,,,Strike,normal,-3~+1
Carmine,,j6B,720,20,,,Projectile,normal,+10(TK)
Carmine,,j6B~B,,,,,Projectile,normal,
Carmine,,jA,140,8,,,"Strike, Head",normal,
Carmine,,jB,410,10,3,17,"Strike, Head",normal,Varies
Carmine,,jB~B,,8,2,17,"Strike, Head",normal,Varies
Carmine,,jC,604,12,"1, 1",34,"Strike, Head",normal,Varies
Carmine,,j[C],781,25,"1, 2",34,"Strike, Head",normal,Varies
Carmine,"Cross Cast&amp;#32;Veil Off",A+B+C,0,2,4,20,Strike,other,+3
Carmine,"Give Me That!",214B+C,1265,10,2,,Throw,special,+52(hit)
Carmine,"Go Down, Already!",66B+C,780,14,,,Strike,other,-9
Carmine,"Go Down, Already! (IC)",66[B+C],1040,22,,,Strike,other,-4
Carmine,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Carmine,"Hahahaha! Be Devoured!",41236D,3161~3546,7,,,"Strike, Projectile",super,-38~-22
Carmine,"Launch! (A)",22A,910,18,3,25,Projectile,special,+2
Carmine,"Launch! (B)",22B,910,18,3,25,Projectile,special,+2
Carmine,"Launch! (C)",22C,1494,16,3,24,Projectile,special,"+3 [+4]"
Carmine,"Launch! (Dissolve)",22X,910,18,3,25,Strike,special,+2
Carmine,"Pulverize! (A)",623A,1426~2095,18,6,12,Strike,special,-4[+2]
Carmine,"Pulverize! (B)",623B,1450~2118,11,6,18,Strike,special,-10[-5]
Carmine,"Pulverize! (C)",623C,1812~2078,13,12,20,Strike,special,-12~+11
Carmine,"Pulverize! (Dissolve A)",623A,1040,24,7,,Projectile,special,+20
Carmine,"Pulverize! (Dissolve B)",623B,1040,17,7,,Projectile,special,+14
Carmine,"Pulverize! (Dissolve C)",623C,1040,16,7,,Projectile,special,+3
Carmine,"Spin! (A)",236A,1371,34,37,,Projectile,special,+53~+72
Carmine,"Spin! (air A)",j236A,1371,37,37,,Projectile,special,+70
Carmine,"Spin! (air B)",j236B,1371,37,37,,Projectile,special,+70
Carmine,"Spin! (air C)",j236C,1665,22,52,,Projectile,special,+60
Carmine,"Spin! (B)",236B,1371,34,37,,Projectile,special,+53~+72
Carmine,"Spin! (C)",236C,1665,19,52,16,Projectile,special,+62
Carmine,"Spin! (Dissolve)",236X,740,30,18,,"Foot, Projectile",special,Varies
Carmine,Throw,A+D,1580,4,1,26,Throw,other,"+61 (hit)"
Carmine,"Thrust! (A)",214A,1435,13,2(9)7,24,,special,-2
Carmine,"Thrust! (B)",214B,1435,14,2(13)7,27,,special,-5
Carmine,"Thrust! (C)",214C,1863,16,,,Strike,special,+2
Carmine,"Thrust! (Increase A)",214[A],788,31,5,18,Strike,special,-1
Carmine,"Thrust! (Increase B)",214[B],788,31,5,18,Strike,special,-1
Carmine,"Thrust! (Release)",214]X[,893,,,,Strike,special,
Carmine,Twist!,B+C,320,15,3,23,"Strike, Foot",other,-3
Carmine,"Twist! (Air Vorpal)",jB+C,352,12,3,23,"Strike, Foot",other,-3
Carmine,"Twist! (Air)",jB+C,320,16,3,23,"Strike, Foot",other,-3
Carmine,"Twist! (Vorpal)",B+C,352,12,3,23,"Strike, Foot",other,-3
Carmine,"Veil Off",A+B+C,0,15,2,,Strike,other,-23
Carmine,"You Shit! This is the END!",A+B+C+D,3756,1+14,2,51,Strike,super,-25
Chaos,,2A,140,6,2,12,"Strike, Foot",normal,-2
Chaos,,2B,400,8,3,16,"Strike, Foot",normal,-3
Chaos,,2C,580,12,3,26,"Strike, Foot",normal,-11
Chaos,,5A,180,6,2,12,Strike,normal,-2
Chaos,,5B,400,8,2,19,Strike,normal,-5
Chaos,,5BB,450,12,2,21,Strike,normal,-8
Chaos,,5C,510,11,3,22,Strike,normal,-7
Chaos,,5CC,427,6,5,26,Strike,normal,-13
Chaos,,66B,400,10,2,21,Strike,normal,-5
Chaos,,66C,780,11,3,21,Strike,normal,-6
Chaos,,j2C,620,12,4,X,"Head, &lt;font style=&quot;color:Indigo&quot;   &gt;Air Shield&lt;/font&gt;",normal,
Chaos,,jA,140,8,2,X,"Head, Strike",normal,
Chaos,,jB,400,10,4,X,"Head, Strike",normal,
Chaos,,jC,520,12,3,X,"Head, Strike",normal,
Chaos,"Burn Them to a Crisp",B+C,892,19,,,Projectile,other,+2
Chaos,"Cold Reflection",6C,640,14,14,29,"Projectile, Strike",normal,-4~-15
Chaos,"Cold Reflection",6C_Reflect,640,14,14,29,"Projectile, Strike",normal,-4~-15
Chaos,"Come Forth",22D,,,,"31F Total",,special,
Chaos,Conceal,22A,1139,"Normal: 37 ~ 96&lt;br&gt;Prepare: 31",2,"Chaos: 44&lt;br&gt;Azhi: 95",Strike,special,"Normal: +25&lt;br&gt;Prepare: +21"
Chaos,Conceal,22B,1139,"Normal: 64 ~ 123&lt;br&gt;Prepare:",2,"Chaos: 44&lt;br&gt;Azhi: 95",Strike,special,"Normal: +25&lt;br&gt;Prepare: +21"
Chaos,Conceal,22C,1649,"Normal: 1+53&lt;br&gt;Prepare: 1+22",2,"Chaos: 44&lt;br&gt;Azhi: 95",Strike,special,"Normal: +25&lt;br&gt;Prepare: +8"
Chaos,"Cross Cast&amp;#32;Veil Off",A+B+C,0,2,4,20,Strike,other,+3
Chaos,"Deep Revenance",A+B+C+D,3760,1+14,2,51,Strike,super,-25
Chaos,"Dissect Barrage",41236D,3042,1+12,2,55,Strike,super,-39
Chaos,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Chaos,Prepare,22]X[,,22,,"595F Total",,special,
Chaos,Repel,623A,670,"Normal: 23&lt;br&gt;Air: 14&lt;br&gt;Prepare: 20",5,"Normal: 18 on landing&lt;br&gt;Air: 21 on landing&lt;br&gt;Prepare: 20 on landing",Strike,special,"Normal: +6&lt;br&gt;Prepare: +3"
Chaos,Repel,623B,690,"Normal: 27&lt;br&gt;Air: 18&lt;br&gt;Prepare: 24",5,"Normal: 18 on landing&lt;br&gt;Air: 21 on landing&lt;br&gt;Prepare: 20 on landing",Strike,special,"Normal: +10&lt;br&gt;Prepare: +7"
Chaos,Repel,623C,720*2,"Normal: 1+13&lt;br&gt;Air: 1+9&lt;br&gt;Prepare: 1+11",5(12)5,"Normal: 20 on landing&lt;br&gt;Air: 18 on landing&lt;br&gt;Prepare: 17 on landing",Strike,special,"Normal: +17&lt;br&gt;Prepare: +15"
Chaos,Repel,623[B],540*2,"Normal: 36&lt;br&gt;Air: 25&lt;br&gt;Prepare: 33",4(11)5,"Normal: 18 on landing&lt;br&gt;Air: 21 on landing&lt;br&gt;Prepare: 20 on landing",Strike,special,"Normal: +38&lt;br&gt;Prepare: +35"
Chaos,"Slither Up",[X],,,,,,special,
Chaos,"Smart Steer",5A+B,,,,,Strike,other,-4
Chaos,"Snaking Around",66~6A+B,,1,,30,,normal,
Chaos,"Spew Out",214A,550,"Normal: 19&lt;br&gt;Prepare: 17",-,,,special,Varies
Chaos,"Spew Out",214B,550,"Normal: 19&lt;br&gt;Prepare: 17",,,,special,Varies
Chaos,"Spew Out",214C,700*3,"Normal: 1+18&lt;br&gt;Prepare: 1+16",,,"[[Under Night In-Birth/Glossary#Knockdown|Knockdown]]",special,Varies
Chaos,"Spew Out",214[A],620*2,"Normal: 33&lt;br&gt;Prepare: 31",,,,special,Varies
Chaos,"Spew Out",214[B],620*2,"Normal: 33&lt;br&gt;Prepare: 31",,,,special,Varies
Chaos,"That&#039;s Your Prey",236A,"Normal: 650&lt;br&gt;Prepare: 250*2, 650","Azhi Grounded: 15&lt;br&gt; Azhi Airborne: Till L&lt;br&gt;Prepare: 17","Normal: 5&lt;br&gt;Prepare: 4, 3(14)5",32,Strike,special,"Normal: -8&lt;br&gt;Prepare: +26"
Chaos,"That&#039;s Your Prey",236B,710,"Azhi Grounded: 14&lt;br&gt;Azhi Airborne: 9&lt;br&gt; Prepare: 17","Azhi Grounded: 8&lt;br&gt;Azhi Airborne: 4&lt;br&gt;Prepare: 4, 3(14)8",30,Strike,special,"Normal: -9&lt;br&gt;Prepare: +25"
Chaos,"That&#039;s Your Prey",236C,"Normal: 333*2, 444, 666&lt;br&gt;Prepare: 250*2, 333*2, 444, 666","Normal: 1+8&lt;br&gt;Prepare:1+16","Azhi Ground: 5(25)4, 3&lt;br&gt;Azhi Air: Till L, 5(25)4, 3&lt;br&gt;Prepare: 4, 3(14)5(25)4, 3",28,Strike,special,"Normal: +38&lt;br&gt;Prepare: +74"
Chaos,"That&#039;s Your Prey",236[B],"Normal: 820&lt;br&gt;Prepare: 250*2, 820","Normal: 20&lt;br&gt;Prepare: 17","Normal: 10&lt;br&gt;Prepare: 4, 3(19)10",30,Strike,special,"Normal: -3&lt;br&gt;Prepare: +31"
Chaos,Throw,A+D,1570,4,1,22,Throw,other,+22(hit)
Chaos,"Up and At &#039;Em",2B+C,900,,,,Strike,other,+28
Chaos,"Veil Off",A+B+C,0,15,2,,Strike,other,-23
Eltnum,,214[B],922×2,28,,,Throw,special,
Eltnum,,2A,140,6,2,12,Foot,normal,-2
Eltnum,,2B,430,7,4,20,Foot,normal,-8
Eltnum,,2C,350×2,13,2(6)4,16,"Foot, Strike",normal,-4
Eltnum,,3C,470,9,2,22,Strike,normal,-6
Eltnum,,3[C],520,18,2,24,Strike,normal,-8
Eltnum,,421C,"400×3, 850","4+(20 Flash)+3",13,34,,special,-20
Eltnum,,5A,170,5,2,12,Strike,normal,-2
Eltnum,,5B,490,8,4,18,Strike,normal,-6
Eltnum,,5C,680,13,4,22,Strike,normal,-10
Eltnum,,5C~C,450,22,5,17,Strike,normal,+3
Eltnum,,5[C],720,24,4,20,Strike,normal,-6
Eltnum,,66B,640,11,4,13,Strike,normal,-5
Eltnum,,66C,"420, 500",10,4(10)8,15,Strike,normal,-5
Eltnum,,6B,615,26,2,25,Strike,normal,-9
Eltnum,,6C,590,22,4,17,Strike,normal,-3
Eltnum,,6[B],950,33,8,19,Strike,normal,-9
Eltnum,,6[C],900,36,4,12,Strike,normal,+2
Eltnum,,B+C,"250, 560",11,4(4)5,15,Strike,other,-2
Eltnum,,j2b,350,12,"Until landing",11,Head,normal,
Eltnum,,j2[B],550,19,"Until Landing",8,Head,normal,
Eltnum,,jA,140,"8 &lt;br&gt; &#039;&#039;Assault&#039;&#039;: 21",8,9,Head,normal,
Eltnum,,jB,400,"10 &lt;br&gt; &#039;&#039;Assault&#039;&#039;: 22",5,15,Head,normal,
Eltnum,,jC,580,"12 &lt;br&gt; &#039;&#039;Assault&#039;&#039;: 24",5,20,Head,normal,
Eltnum,,j[C],"975 [750]","19 &lt;br&gt; &#039;&#039;Assault&#039;&#039;: 31",5,20,Head,normal,
Eltnum,,[B]+[C],"270, 920",22,3(7)5,25,Strike,other,-1
Eltnum,"Air Backdash",j44,,,,,,special,
Eltnum,"Air Throw",jA+D,1160,"2 [1]","1 [2]","Until Landing+8",Throw,other,
Eltnum,"Barrel Replica",41236D,"386×10, 770","1+(60 Flash)+9",,,Strike,super,-22
Eltnum,"Cross Cast&amp;#32;Veil Off",A+B+C,0,2,4,20,Strike,other,+3
Eltnum,"Cutting Sync",421A,,,,,,special,
Eltnum,"Cutting Sync",421B,"320, 650",25,"2, (2), 3",26,Strike,special,-11
Eltnum,"Etherlite Air",623A,"375×2, 350×3",5,17,28,Strike,special,-15
Eltnum,"Etherlite Air",623B,"600, 280×5",6,19,34,Strike,special,-25
Eltnum,"Etherlite Air",623C,"190×10, 100, 1300",5,"17, (5), 8",42,Strike,special,-29
Eltnum,"Etherlite Air (Air)",j623A,"375×4, 330",7,"3,3,5","Until Landing+6",Strike,special,
Eltnum,"Etherlite Air (Air)",j623B,"360×3, 400×2, 310",7,14,"Until landing",Strike,special,"-25 ~ -35"
Eltnum,"Etherlite Air (Air)",j623C,"190×10, 100, 1300",5,16,"Until Landing",Strike,special,"-32 ~ -59"
Eltnum,"Etherlite Ground",214A,"420, 640",13,4,24,Foot,special,-8
Eltnum,"Etherlite Ground",214B,"440, 710",18,4,24,Foot,special,-8
Eltnum,"Etherlite Ground",214C,"400, 290×5",9,7,18,Foot,special,-6
Eltnum,"Guard Thrust",6A+B+C,0,15,5,26,Strike,other,-12
Eltnum,"Hollow Point",236A,650,11,2,31,Projectile,special,-3
Eltnum,"Hollow Point",236A,850,11,2,26,Projectile,special,+1
Eltnum,"Hollow Point",236B,"270×2, 450",13,2(7)2(10)2,34,Projectile,special,-6
Eltnum,"Hollow Point",236B,"350×2, 620",13,"2, (7), 2, (10), 2",34,Projectile,special,-1
Eltnum,"Hollow Point (EX)",236C,"330×6 [380×6]",12,22,44,Projectile,special,"-12 (-4~-8)"
Eltnum,"Hollow Point (EX)",236C,"400×6, 500",12,26,44,Projectile,special,"-12 (-4~-8)"
Eltnum,"Hollow Point (Increase)",236[A],820,21,"4, 4, 5",13,Projectile,special,"+3, +7, +11"
Eltnum,"Hollow Point (Increase)",236[A],820,24,"4, 4, 5",20,Projectile,special,"-4, 0, +4"
Eltnum,"Hollow Point (Increase)",236[B],820,24,"4, 4, 5",22,Projectile,special,"-6, -2, +2"
Eltnum,"Hollow Point (Increase)",236[B],820,24,"4, 4, 5",16,Projectile,special,"0, +4, +8"
Eltnum,Reload,22C,,,,"See notes",,special,
Eltnum,"Slide Air",j214A,"400, 1100",12,"Until Landing",,Dive,special,"Varies [+7 at best]"
Eltnum,"Slide Air",j214B,"400, 1100",28,"Until Landing",,"Dive, Throw",special,
Eltnum,"Slide Air",j214C,"400, 275×4, 600",5,"Until landing",,Dive,special,"+8 ~ +2 [+8 at  best]"
Eltnum,Throw,A+D,1621,4,1,26,Throw,other,
Eltnum,"Tri Hermes Blackland",A+B+C+D,3750,1+14,2,51,Strike,super,-25
Eltnum,"Veil Off",A+B+C,0,15,2,,Strike,other,-23
Eltnum,"Warning Shot",22A,"800 (1100)",10,2,26,,special,-1
Eltnum,"Warning Shot",22B,"170×4, 460 [240×4, 550]",17,"28, (1), 2",19,,special,+10
Enkidu,,214A,1015,4,22,5,Strike,special,16
Enkidu,,214B,1557,7,10,23,Strike,special,16
Enkidu,,214C,1572,1+4,27,30,Strike,special,-6
Enkidu,,214C,2022,1+2,4,24,Strike,special,-7
Enkidu,,22A,790,16,6,22,Strike,special,-2
Enkidu,,22B,810,26,6,19,Strike,special,+2
Enkidu,,22C,1514,1+8,15,20,Strike,special,+4
Enkidu,,22[B],1050,38,6,17,Strike,special,+8
Enkidu,,236A,700,11,5,20,Strike,special,-7
Enkidu,,236B,700,14,5,20,Strike,special,-7
Enkidu,,236C,1972,1+7,8,36,Strike,special,"-3 to +1"
Enkidu,,236X~6A,900,11,2,29,Strike,special,-5
Enkidu,,236X~6AA,1250,16,12(6)8,34,Strike,special,-22
Enkidu,,236X~6B/C,900,12,2,23,Strike,special,-7
Enkidu,,236X~6B/C~6B/C,1100,12,4,38,Strike,special,-24
Enkidu,,236[B],1400,21,5,23,Strike,special,"-10 to -7"
Enkidu,,2A,160,6,2,14,"Strike, Foot",normal,-3
Enkidu,,2B,510,8,4,21,Strike,normal,-9
Enkidu,,2C,720,12,3,32,"Strike, Foot",normal,-13
Enkidu,,2CC,900,7,4,22,Strike,normal,-8
Enkidu,,2CCC,1200,20,5,23,Strike,normal,-8
Enkidu,,2[C],850,25,4,37,"Strike, Foot",normal,-18
Enkidu,,360C,1612,8+2,,,Throw,special,
Enkidu,,3C,640,15,4,27,Strike,normal,-13
Enkidu,,3[C],850,30,4,29,Strike,normal,-15
Enkidu,,4C,710,11,5,24,Strike,normal,-4
Enkidu,,4[C],960,20,5,27,Strike,normal,-5
Enkidu,,5A,390,6,2(6)2,11,Strike,normal,-1
Enkidu,,5B,580,9,3,20,Strike,normal,-7
Enkidu,,5BB,900,11,4,15,Strike,normal,-2
Enkidu,,5BBB,1100,11,3,23,Strike,normal,-6
Enkidu,,5BBBC,690,11,4,30,Strike,normal,-16
Enkidu,,5C,690,12,4,30,Strike,normal,-13
Enkidu,,5CC,900,11,2,29,Strike,normal,-6
Enkidu,,5CCC,1400,15,4,26,Strike,normal,-10
Enkidu,,5[C],1807,29,5,32,Strike,normal,-19
Enkidu,,623A,1287,7,6(6)6,24,Strike,special,-12
Enkidu,,623B,1550,8,6(6)6,24,Strike,special,"-19 to -10"
Enkidu,,623C,1812,7,4(10)3(13)3,23,Strike,special,-38
Enkidu,,66B,690,11,7,9,Strike,normal,"-4 to +2"
Enkidu,,66C,1048,19,15,22,Strike,normal,"-9 to -3"
